Id,Label,Parent
taxo,Taxo,
Taxo-Admin,Admin,Taxo
Taxo-Architecture,Architecture,Taxo
Architecture-Architects & Planners,Architects & Planners,Taxo-Architecture
Architecture-Drafters,Drafters,Taxo-Architecture
Taxo-Bus,Bus,Taxo
Taxo-Cleaning,Cleaning,Taxo
Taxo-Community,Community,Taxo
Taxo-Construction,Construction,Taxo
Taxo-education,education,Taxo
Taxo-farming,farming,Taxo
Taxo-Finance,Finance,Taxo
Taxo-Food,Food,Taxo
Taxo-Health,Health,Taxo
Taxo-Legal,Legal,Taxo
Taxo-Manu,Manu,Taxo
Taxo-Marketing,Marketing,Taxo
Taxo-media,media,Taxo
Taxo-Military,Military,Taxo
Taxo-Personal,Personal,Taxo
Taxo-Proctective,Proctective,Taxo
Taxo-Repair,Repair,Taxo
Taxo-Sales,Sales,Taxo
Taxo-Science,Science,Taxo
Taxo-Supply,Supply,Taxo
Taxo-Tech,Tech,Taxo
Taxo-Transport,Transport,Taxo
Taxo-Travel,Travel,Taxo
